year_month,metric_id,value
2023-05,sp500_index,4164.10009765625
2023-05,sp500_index,4122.25
2023-05,sp500_index,4082.550048828125
2023-05,sp500_index,4084.72998046875
2023-05,sp500_index,4136.97998046875
2023-05,sp500_index,4124.25
2023-05,sp500_index,4143.740234375
2023-05,sp500_index,4132.240234375
2023-05,sp500_index,4138.5400390625
2023-05,sp500_index,4126.64990234375
2023-05,sp500_index,4127.9501953125
2023-05,sp500_index,4122.85009765625
2023-05,sp500_index,4157.68017578125
2023-05,sp500_index,4204.14990234375
2023-05,sp500_index,4190.77978515625
2023-05,sp500_index,4176.7998046875
2023-05,sp500_index,4132.9599609375
2023-05,sp500_index,4155.7099609375
2023-05,sp500_index,4156.16015625
2023-05,sp500_index,4226.7099609375
2023-05,sp500_index,4190.740234375
2023-05,total_tvl_usd,47454936529.0
2023-06,sp500_index,4183.02978515625
2023-06,sp500_index,4241.009765625
2023-06,sp500_index,4282.990234375
2023-06,sp500_index,4271.33984375
2023-06,sp500_index,4285.47021484375
2023-06,sp500_index,4268.68994140625
2023-06,sp500_index,4304.8798828125
2023-06,sp500_index,4308.31982421875
2023-06,sp500_index,4352.60986328125
2023-06,sp500_index,4366.2900390625
2023-06,sp500_index,4365.330078125
2023-06,sp500_index,4440.9501953125
2023-06,sp500_index,4396.10986328125
2023-06,sp500_index,4380.009765625
2023-06,sp500_index,4355.39990234375
2023-06,sp500_index,4354.169921875
2023-06,sp500_index,4344.83984375
2023-06,sp500_index,4337.35986328125
2023-06,sp500_index,4367.47998046875
2023-06,sp500_index,4374.93994140625
2023-06,sp500_index,4422.43994140625
2023-06,total_tvl_usd,44281209043.0
2023-07,sp500_index,4450.47998046875
2023-07,sp500_index,4442.0400390625
2023-07,sp500_index,4422.6201171875
2023-07,sp500_index,4404.5400390625
2023-07,sp500_index,4394.22998046875
2023-07,sp500_index,4415.5498046875
2023-07,sp500_index,4467.68994140625
2023-07,sp500_index,4491.5
2023-07,sp500_index,4514.60986328125
2023-07,sp500_index,4508.85986328125
2023-07,sp500_index,4521.77978515625
2023-07,sp500_index,4563.8701171875
2023-07,sp500_index,4554.3798828125
2023-07,sp500_index,4550.16015625
2023-07,sp500_index,4543.39013671875
2023-07,sp500_index,4555.18994140625
2023-07,sp500_index,4558.9599609375
2023-07,sp500_index,4598.259765625
2023-07,sp500_index,4565.75
2023-07,sp500_index,4584.81982421875
2023-07,total_tvl_usd,41682897903.0
2023-08,sp500_index,4578.830078125
2023-08,sp500_index,4550.93017578125
2023-08,sp500_index,4494.27001953125
2023-08,sp500_index,4513.9599609375
2023-08,sp500_index,4491.580078125
2023-08,sp500_index,4498.02978515625
2023-08,sp500_index,4501.56982421875
2023-08,sp500_index,4487.16015625
2023-08,sp500_index,4450.68994140625
2023-08,sp500_index,4458.1298828125
2023-08,sp500_index,4478.8701171875
2023-08,sp500_index,4433.7900390625
2023-08,sp500_index,4416.31982421875
2023-08,sp500_index,4344.8798828125
2023-08,sp500_index,4380.27978515625
2023-08,sp500_index,4415.330078125
2023-08,sp500_index,4396.43994140625
2023-08,sp500_index,4455.16015625
2023-08,sp500_index,4389.3798828125
2023-08,sp500_index,4426.02978515625
2023-08,sp500_index,4432.75
2023-08,sp500_index,4500.33984375
2023-08,sp500_index,4517.009765625
2023-08,total_tvl_usd,38846818980.0
2023-09,sp500_index,4530.60009765625
2023-09,sp500_index,4510.06005859375
2023-09,sp500_index,4490.35009765625
2023-09,sp500_index,4434.5498046875
2023-09,sp500_index,4451.2998046875
2023-09,sp500_index,4480.97998046875
2023-09,sp500_index,4473.27001953125
2023-09,sp500_index,4462.64990234375
2023-09,sp500_index,4487.77978515625
2023-09,sp500_index,4497.97998046875
2023-09,sp500_index,4445.1298828125
2023-09,sp500_index,4445.41015625
2023-09,sp500_index,4452.81005859375
2023-09,sp500_index,4374.35986328125
2023-09,sp500_index,4341.740234375
2023-09,sp500_index,4310.6201171875
2023-09,sp500_index,4312.8798828125
2023-09,sp500_index,4282.6298828125
2023-09,sp500_index,4269.64990234375
2023-09,sp500_index,4328.18017578125
2023-09,total_tvl_usd,38691886607.0
2023-10,sp500_index,4284.52001953125
2023-10,sp500_index,4269.75
2023-10,sp500_index,4233.830078125
2023-10,sp500_index,4259.31005859375
2023-10,sp500_index,4234.7900390625
2023-10,sp500_index,4289.02001953125
2023-10,sp500_index,4339.75
2023-10,sp500_index,4366.58984375
2023-10,sp500_index,4380.93994140625
2023-10,sp500_index,4360.490234375
2023-10,sp500_index,4342.3701171875
2023-10,sp500_index,4345.22998046875
2023-10,sp500_index,4357.35009765625
2023-10,sp500_index,4321.35986328125
2023-10,sp500_index,4273.85009765625
2023-10,sp500_index,4210.39990234375
2023-10,sp500_index,4235.7900390625
2023-10,sp500_index,4232.419921875
2023-10,sp500_index,4175.990234375
2023-10,sp500_index,4152.93017578125
2023-10,sp500_index,4139.39013671875
2023-10,sp500_index,4171.330078125
2023-10,total_tvl_usd,42502677800.0
